[rosmaster.main][INFO] 2021-05-18 16:22:18,662: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-05-18 16:22:18,662: Starting ROS Master Node
[xmlrpc][INFO] 2021-05-18 16:22:18,663: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-05-18 16:22:18,664: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2021-05-18 16:22:18,664: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-05-18 16:22:18,664: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2021-05-18 16:22:18,757: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,759: +PARAM [/roslaunch/uris/host_ubuntu__41821] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,836: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:37483/
[rosmaster.master][INFO] 2021-05-18 16:22:18,839: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:37483/
[rosmaster.master][INFO] 2021-05-18 16:22:18,843: +PUB [/rosout_agg] /rosout http://ubuntu:37483/
[rosmaster.master][INFO] 2021-05-18 16:22:18,846: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,846: +PARAM [/racecar/left_rear_wheel_velocity_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,847: +PARAM [/move_base/TebLocalPlannerROS/feasibility_check_no_poses] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,847: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,847: +PARAM [/move_base/global_costmap/obstacle_layer/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,848: +PARAM [/racecar/left_rear_wheel_velocity_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,848: +PARAM [/move_base/TebLocalPlannerROS/weight_max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,848: +PARAM [/move_base/TebLocalPlannerROS/include_dynamic_obstacles] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,848: +PARAM [/move_base/TebLocalPlannerROS/delete_detours_backwards] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,849: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/rear_radius] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,849: +PARAM [/racecar/left_rear_wheel_velocity_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,849: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/front_radius] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,849: +PARAM [/racecar/right_front_wheel_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,849: +PARAM [/move_base/TebLocalPlannerROS/global_plan_prune_distance] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,850: +PARAM [/racecar/left_steering_hinge_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,850: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/rear_offset] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,851: +PARAM [/racecar/left_steering_hinge_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:22:18,851: +PARAM [/move_base/TebLocalPlannerROS/roadmap_graph_area_width] by /roslaunch
